ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,0:0:0,-3.08779,[H]c1nc2nc(-c3c([H])c([H])nc([H])c3[H])c([H])c([O-])n2n1,True
0,0,1,0:0:1,-2.92748,[H]c1nc2nc(-c3c([H])c([H])nc([H])c3[H])c([H])c([O-])n2n1,False
0,0,2,0:0:2,-2.36371,[H]c1nc2nc(-c3c([H])c([H])nc([H])c3[H])c([H])c([O-])n2n1,False
0,1,0,0:1:0,-4.00779,[H]c1nc2n([H])c(-c3c([H])c([H])nc([H])c3[H])c([H])c(=O)n2n1,True
0,1,1,0:1:1,-3.92967,[H]c1nc2n([H])c(-c3c([H])c([H])nc([H])c3[H])c([H])c(=O)n2n1,False
0,1,2,0:1:2,-3.81255,[H]c1nc2n([H])c(-c3c([H])c([H])nc([H])c3[H])c([H])c(=O)n2n1,False
1,0,0,1:0:0,-3.72068,[H]c1nc(N([H])[H])nc2nc([H])n(C3([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c12,True
1,0,1,1:0:1,-3.49456,[H]c1nc(N([H])[H])nc2nc([H])n(C3([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c12,False
1,0,2,1:0:2,-3.47583,[H]c1nc(N([H])[H])nc2nc([H])n(C3([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c12,False
2,0,0,2:0:0,-4.44467,[H]OC12c3c([H])c([H])c([H])c([H])c3N(C([H])([H])[H])C34C([H])([H])C([H])([H])C13C([H])([H])[N+]([H])(C([H])([H])[H])C2([H])C4([H])C(=O)[O-],True
2,0,1,2:0:1,-3.75331,[H]OC12c3c([H])c([H])c([H])c([H])c3N(C([H])([H])[H])C34C([H])([H])C([H])([H])C13C([H])([H])[N+]([H])(C([H])([H])[H])C2([H])C4([H])C(=O)[O-],False
3,0,0,3:0:0,-3.95602,[H]c1nc(-c2nc3sc(OC([H])([H])[H])nn3c2[H])sc1[H],True
3,0,1,3:0:1,-3.75039,[H]c1nc(-c2nc3sc(OC([H])([H])[H])nn3c2[H])sc1[H],False
3,0,2,3:0:2,-3.00533,[H]c1nc(-c2nc3sc(OC([H])([H])[H])nn3c2[H])sc1[H],False
4,1,0,4:1:0,-1.99259,[H]C(=C([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H],True
5,0,0,5:0:0,-4.80635,[H]c1c([H])c([H])c2oc(N([H])C(N([H])[H])=[N+]([H])[H])nc2c1[H],True
5,0,1,5:0:1,-4.52382,[H]c1c([H])c([H])c2oc(N([H])C(N([H])[H])=[N+]([H])[H])nc2c1[H],False
5,0,2,5:0:2,-4.48211,[H]c1c([H])c([H])c2oc(N([H])C(N([H])[H])=[N+]([H])[H])nc2c1[H],False
6,0,0,6:0:0,-4.46877,[H]c1nc(N([H])C2([H])C([H])([H])C3([H])C([H])([H])C([H])([H])C2([H])C3([H])[H])c2nc([H])n([H])c2n1,True
6,0,1,6:0:1,-3.0243,[H]c1nc(N([H])C2([H])C([H])([H])C3([H])C([H])([H])C([H])([H])C2([H])C3([H])[H])c2nc([H])n([H])c2n1,False
6,0,2,6:0:2,-2.95835,[H]c1nc(N([H])C2([H])C([H])([H])C3([H])C([H])([H])C([H])([H])C2([H])C3([H])[H])c2nc([H])n([H])c2n1,False
7,0,0,7:0:0,-2.98469,[H]C1=C([H])C2(C([H])([H])[H])C([H])(N(C([H])([H])[H])C1=O)C([H])([H])C([H])([H])C1([H])C2([H])C([H])([H])C([H])([H])C2=C3C([H])([H])C4(C([H])([H])[H])C(=C([H])C4([H])[H])C([H])([H])C([H])([H])C3([H])[N+]([H])(C([H])([H])[H])C21[H],True
7,0,1,7:0:1,-2.4489,[H]C1=C([H])C2(C([H])([H])[H])C([H])(N(C([H])([H])[H])C1=O)C([H])([H])C([H])([H])C1([H])C2([H])C([H])([H])C([H])([H])C2=C3C([H])([H])C4(C([H])([H])[H])C(=C([H])C4([H])[H])C([H])([H])C([H])([H])C3([H])[N+]([H])(C([H])([H])[H])C21[H],False
7,0,2,7:0:2,-2.30758,[H]C1=C([H])C2(C([H])([H])[H])C([H])(N(C([H])([H])[H])C1=O)C([H])([H])C([H])([H])C1([H])C2([H])C([H])([H])C([H])([H])C2=C3C([H])([H])C4(C([H])([H])[H])C(=C([H])C4([H])[H])C([H])([H])C([H])([H])C3([H])[N+]([H])(C([H])([H])[H])C21[H],False
8,0,0,8:0:0,-3.64011,[H]C(=C=NC([H])(C(=O)C1(C([H])([H])[H])OC1([H])[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])c1c([H])nc([H])c([H])c1[H],True
8,0,1,8:0:1,-3.45936,[H]C(=C=NC([H])(C(=O)C1(C([H])([H])[H])OC1([H])[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])c1c([H])nc([H])c([H])c1[H],False
8,0,2,8:0:2,-3.25924,[H]C(=C=NC([H])(C(=O)C1(C([H])([H])[H])OC1([H])[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])c1c([H])nc([H])c([H])c1[H],False
8,1,0,8:1:0,-5.3201,[H]C(=C=NC([H])(C(=O)C1(C([H])([H])[H])OC1([H])[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])[n+]([H])c1[H],True
8,1,1,8:1:1,-4.60939,[H]C(=C=NC([H])(C(=O)C1(C([H])([H])[H])OC1([H])[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])[n+]([H])c1[H],False
8,1,2,8:1:2,-3.85426,[H]C(=C=NC([H])(C(=O)C1(C([H])([H])[H])OC1([H])[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])[n+]([H])c1[H],False
9,0,0,9:0:0,-5.01867,[H]C([H])([H])OC1([H])C([H])([H])C2([H])C([H])([H])C([H])([H])C1([H])[N+]2([H])C([H])([H])[H],True
9,0,1,9:0:1,-4.35136,[H]C([H])([H])OC1([H])C([H])([H])C2([H])C([H])([H])C([H])([H])C1([H])[N+]2([H])C([H])([H])[H],False
9,0,2,9:0:2,-3.34058,[H]C([H])([H])OC1([H])C([H])([H])C2([H])C([H])([H])C([H])([H])C1([H])[N+]2([H])C([H])([H])[H],False
11,0,0,11:0:0,-2.51671,[H]c1nn(-c2c([H])c([H])c(F)c(C([H])([H])C3([H])N(C(=O)c4c([H])c(F)c([H])c([H])c4-n4nc([H])c([H])n4)C([H])([H])C([H])([H])OC3([H])[H])c2[H])nc1[H],True
11,0,1,11:0:1,-2.50108,[H]c1nn(-c2c([H])c([H])c(F)c(C([H])([H])C3([H])N(C(=O)c4c([H])c(F)c([H])c([H])c4-n4nc([H])c([H])n4)C([H])([H])C([H])([H])OC3([H])[H])c2[H])nc1[H],False
11,0,2,11:0:2,-2.15872,[H]c1nn(-c2c([H])c([H])c(F)c(C([H])([H])C3([H])N(C(=O)c4c([H])c(F)c([H])c([H])c4-n4nc([H])c([H])n4)C([H])([H])C([H])([H])OC3([H])[H])c2[H])nc1[H],False
12,0,0,12:0:0,-6.22987,[H]OC([H])([H])C1([H])OC([H])(O[H])C([H])(O[H])C([H])(O[H])C1([H])O[H],True
12,0,1,12:0:1,-5.1721,[H]OC([H])([H])C1([H])OC([H])(O[H])C([H])(O[H])C([H])(O[H])C1([H])O[H],False
12,0,2,12:0:2,-5.05884,[H]OC([H])([H])C1([H])OC([H])(O[H])C([H])(O[H])C([H])(O[H])C1([H])O[H],False
13,0,0,13:0:0,-4.35821,[H]c1nc([H])c(-c2nnnn2-c2c([H])nc([H])c([H])c2[H])nc1[H],True
13,0,1,13:0:1,-3.87254,[H]c1nc([H])c(-c2nnnn2-c2c([H])nc([H])c([H])c2[H])nc1[H],False
