ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
40,0,0,40:0:0,-5.3,c1cnc2cccnc2c1,True
40,0,1,40:0:1,-5.3,c1cnc2cccnc2c1,False
41,0,0,41:0:0,-5.3,c1cnc2scnc2c1,True
41,0,1,41:0:1,-4.7,c1cnc2scnc2c1,False
42,0,0,42:0:0,-5.4,Cc1csc2cccnc12,True
42,0,1,42:0:1,-5.4,Cc1csc2cccnc12,False
43,0,0,43:0:0,-5.1,c1cnc2ccnn2c1,True
43,0,1,43:0:1,-4.7,c1cnc2ccnn2c1,False
44,0,0,44:0:0,-5.7,COc1ccc2ccsc2c1,True
44,0,1,44:0:1,-5.6,COc1ccc2ccsc2c1,False
45,0,0,45:0:0,-5.1,Cc1ccccc1,True
45,0,1,45:0:1,-5.1,Cc1ccccc1,False
46,0,0,46:0:0,-5.1,c1cnn2ccnc2c1,True
46,0,1,46:0:1,-4.9,c1cnn2ccnc2c1,False
47,0,0,47:0:0,-6.3,c1ccc2ncccc2c1,True
47,0,1,47:0:1,-6.2,c1ccc2ncccc2c1,False
48,0,0,48:0:0,-7.2,c1ccc(-c2nnc3ccccn23)nc1,True
48,0,1,48:0:1,-7.0,c1ccc(-c2nnc3ccccn23)nc1,False
49,0,0,49:0:0,-6.3,c1ccc2ncccc2c1,True
49,0,1,49:0:1,-6.2,c1ccc2ncccc2c1,False
50,0,0,50:0:0,-6.1,Cn1cnnc1SCc1ccccn1,True
50,0,1,50:0:1,-5.8,Cn1cnnc1SCc1ccccn1,False
51,0,0,51:0:0,-4.8,c1cc2scnc2cn1,True
51,0,1,51:0:1,-4.5,c1cc2scnc2cn1,False
52,0,0,52:0:0,-5.0,Brc1cnc2ncccn12,True
52,0,1,52:0:1,-4.9,Brc1cnc2ncccn12,False
53,0,0,53:0:0,-5.3,c1cnc2cccnc2c1,True
53,0,1,53:0:1,-5.3,c1cnc2cccnc2c1,False
54,0,0,54:0:0,-5.0,c1cnc2sccc2c1,True
54,0,1,54:0:1,-4.9,c1cnc2sccc2c1,False
55,0,0,55:0:0,-4.8,c1cnc2ccsc2c1,True
55,0,1,55:0:1,-4.8,c1cnc2ccsc2c1,False
56,0,0,56:0:0,-5.1,c1cnc2ccnn2c1,True
56,0,1,56:0:1,-4.7,c1cnc2ccnn2c1,False
57,0,0,57:0:0,-6.1,Cc1cc(-c2ccoc2)on1,True
57,0,1,57:0:1,-5.5,Cc1cc(-c2ccoc2)on1,False
58,0,0,58:0:0,-5.4,c1cnc2ccoc2c1,True
58,0,1,58:0:1,-4.9,c1cnc2ccoc2c1,False
59,0,0,59:0:0,-6.0,Cn1ccc2ccccc21,True
59,0,1,59:0:1,-5.8,Cn1ccc2ccccc21,False
60,0,0,60:0:0,-4.7,c1cnc2nccn2c1,True
60,0,1,60:0:1,-4.5,c1cnc2nccn2c1,False
61,0,0,61:0:0,-4.8,c1cnc2ccsc2c1,True
61,0,1,61:0:1,-4.8,c1cnc2ccsc2c1,False
62,0,0,62:0:0,-5.5,c1ccc2sccc2c1,True
62,0,1,62:0:1,-5.5,c1ccc2sccc2c1,False
63,0,0,63:0:0,-5.6,c1cnc2ncccc2c1,True
63,0,1,63:0:1,-5.6,c1cnc2ncccc2c1,False
64,0,0,64:0:0,-5.3,c1cnc2cccnc2c1,True
64,0,1,64:0:1,-5.3,c1cnc2cccnc2c1,False
65,0,0,65:0:0,-4.6,c1cc2sncc2cn1,True
65,0,1,65:0:1,-4.6,c1cc2sncc2cn1,False
66,0,0,66:0:0,-5.3,c1cnc2scnc2c1,True
66,0,1,66:0:1,-4.7,c1cnc2scnc2c1,False
67,0,0,67:0:0,-4.8,c1cnc2ccsc2c1,True
67,0,1,67:0:1,-4.8,c1cnc2ccsc2c1,False
68,0,0,68:0:0,-4.5,c1cn2cncc2cn1,True
68,0,1,68:0:1,-4.3,c1cn2cncc2cn1,False
