ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,0:0:0,-3.10381,[H]OC([H])(c1nnn(-c2c([H])c([H])c(Cl)c(Cl)c2[H])c1[H])C([H])([H])[N+]([H])([H])C([H])([H])[H],True
0,0,1,0:0:1,-3.03339,[H]OC([H])(c1nnn(-c2c([H])c([H])c(Cl)c(Cl)c2[H])c1[H])C([H])([H])[N+]([H])([H])C([H])([H])[H],False
0,0,2,0:0:2,-2.9079,[H]OC([H])(c1nnn(-c2c([H])c([H])c(Cl)c(Cl)c2[H])c1[H])C([H])([H])[N+]([H])([H])C([H])([H])[H],False
0,1,0,0:1:0,-2.98112,[H]OC([H])(c1nnn(-c2c([H])c([H])c(Cl)c(Cl)c2[H])c1[H])C([H])([H])N([H])C([H])([H])[H],True
0,1,1,0:1:1,-2.86146,[H]OC([H])(c1nnn(-c2c([H])c([H])c(Cl)c(Cl)c2[H])c1[H])C([H])([H])N([H])C([H])([H])[H],False
0,1,2,0:1:2,-2.50042,[H]OC([H])(c1nnn(-c2c([H])c([H])c(Cl)c(Cl)c2[H])c1[H])C([H])([H])N([H])C([H])([H])[H],False
1,0,0,1:0:0,-2.38414,[H]OC1([H])C(C([H])([H])[H])=C([H])C2([H])C(C([H])([H])[H])(C([H])([H])[H])OC34OC([H])([H])OC5([H])C6([H])C7([H])C([H])([H])C3([H])OC([H])([H])C27C([H])(OC([H])([H])C([H])([H])[H])C6([H])C(C([H])([H])[H])(C([H])([H])[H])C5([H])C14O[H],True
1,0,1,1:0:1,-2.12641,[H]OC1([H])C(C([H])([H])[H])=C([H])C2([H])C(C([H])([H])[H])(C([H])([H])[H])OC34OC([H])([H])OC5([H])C6([H])C7([H])C([H])([H])C3([H])OC([H])([H])C27C([H])(OC([H])([H])C([H])([H])[H])C6([H])C(C([H])([H])[H])(C([H])([H])[H])C5([H])C14O[H],False
1,0,2,1:0:2,-2.05859,[H]OC1([H])C(C([H])([H])[H])=C([H])C2([H])C(C([H])([H])[H])(C([H])([H])[H])OC34OC([H])([H])OC5([H])C6([H])C7([H])C([H])([H])C3([H])OC([H])([H])C27C([H])(OC([H])([H])C([H])([H])[H])C6([H])C(C([H])([H])[H])(C([H])([H])[H])C5([H])C14O[H],False
2,0,0,2:0:0,-2.7105,[H]c1nc(N([H])c2c([H])c([H])c3nc(C(=O)C([H])([H])[H])sc3c2[H])c2nc(N3C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])nc([H])c2n1,True
