ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
7,2,2,7:2:2,-4.05871,[H]OC1([H])C([H])([H])[N+]([H])(C2([H])C(=C([H])[H])C([H])([O-])C(F)(C([H])([H])N([H])C(=O)C3([H])S(=O)S(=O)SC3([H])[H])C2([H])[H])C1([H])[H],False
14,1,0,14:1:0,-1.47107,[H]OC([H])([H])C1([H])C(=O)C([H])([H])C([H])([H])C2(C([H])([H])[H])C(O[H])(C([H])([H])C(=O)[O-])OC13C1([H])S(=O)C(O[H])(C([H])(O[H])C4([H])C([H])(C(=O)C5(C([H])([H])[H])OC4(C([H])([H])[H])C5([H])[H])C4([H])C(O[H])(C5(O[H])OC([H])([H])C([H])(C([H])([H])[H])C5([H])[H])C5(OC(=O)C([H])([H])[H])C([H])([H])C([H])(C(O[H])(C(O[H])(C([H])([H])[H])C([H])([H])[H])C5([H])C1([H])[H])C4(C([H])([H])[H])C([H])([H])[H])C32O[H],True
17,0,0,17:0:0,-3.66562,[H]Oc1c(N([H])C([H])([H])c2c([H])nc([H])c([H])c2[H])c([H])c([H])c2c1C13C([H])([H])C(O[H])(C(=O)OC([H])([H])[H])C14C([H])(C2([H])[H])C1(O[H])S(=O)C([H])(C3([H])[H])C42OOC1(C([H])([H])C([H])([H])C([H])([H])[H])C2([H])[H],True
17,0,1,17:0:1,-2.81076,[H]Oc1c(N([H])C([H])([H])c2c([H])nc([H])c([H])c2[H])c([H])c([H])c2c1C13C([H])([H])C(O[H])(C(=O)OC([H])([H])[H])C14C([H])(C2([H])[H])C1(O[H])S(=O)C([H])(C3([H])[H])C42OOC1(C([H])([H])C([H])([H])C([H])([H])[H])C2([H])[H],False
17,0,2,17:0:2,-2.25555,[H]Oc1c(N([H])C([H])([H])c2c([H])nc([H])c([H])c2[H])c([H])c([H])c2c1C13C([H])([H])C(O[H])(C(=O)OC([H])([H])[H])C14C([H])(C2([H])[H])C1(O[H])S(=O)C([H])(C3([H])[H])C42OOC1(C([H])([H])C([H])([H])C([H])([H])[H])C2([H])[H],False
22,1,0,22:1:0,-2.63203,[H]OC1([H])C2(C([H])([H])[H])OC([H])([H])C34C([H])(C([H])([H])[H])C([H])=C(C([H])([H])[H])C(=O)C5([H])C6(OC(=O)C([H])([H])[H])C([H])(OC(=O)C([H])([H])[H])C7([H])C(=C([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C7(C([H])(OC(=O)C([H])([H])[H])C(OC(=O)C([H])([H])[H])(S(=O)C3([H])C(O[H])(C([H])([H])[H])C3([H])C([H])(C14O[H])C3(C([H])([H])[H])C([H])([H])[H])C([H])(OC(=O)C([H])([H])[H])C6(O[H])C(=C([H])[H])C([H])([H])[H])C(O[H])(C([H])([H])[H])C52O[H],True
22,1,1,22:1:1,-1.33654,[H]OC1([H])C2(C([H])([H])[H])OC([H])([H])C34C([H])(C([H])([H])[H])C([H])=C(C([H])([H])[H])C(=O)C5([H])C6(OC(=O)C([H])([H])[H])C([H])(OC(=O)C([H])([H])[H])C7([H])C(=C([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C7(C([H])(OC(=O)C([H])([H])[H])C(OC(=O)C([H])([H])[H])(S(=O)C3([H])C(O[H])(C([H])([H])[H])C3([H])C([H])(C14O[H])C3(C([H])([H])[H])C([H])([H])[H])C([H])(OC(=O)C([H])([H])[H])C6(O[H])C(=C([H])[H])C([H])([H])[H])C(O[H])(C([H])([H])[H])C52O[H],False
22,1,2,22:1:2,-0.88096,[H]OC1([H])C2(C([H])([H])[H])OC([H])([H])C34C([H])(C([H])([H])[H])C([H])=C(C([H])([H])[H])C(=O)C5([H])C6(OC(=O)C([H])([H])[H])C([H])(OC(=O)C([H])([H])[H])C7([H])C(=C([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C7(C([H])(OC(=O)C([H])([H])[H])C(OC(=O)C([H])([H])[H])(S(=O)C3([H])C(O[H])(C([H])([H])[H])C3([H])C([H])(C14O[H])C3(C([H])([H])[H])C([H])([H])[H])C([H])(OC(=O)C([H])([H])[H])C6(O[H])C(=C([H])[H])C([H])([H])[H])C(O[H])(C([H])([H])[H])C52O[H],False
23,0,0,23:0:0,-3.08005,[H]OC1([H])S(=O)C2([H])OC3(C([H])([H])[H])OC4(OC(C([H])=C([H])[H])(C([H])([H])[H])C3([H])[H])C([H])([H])C4(C([H])([H])[H])C3(O[H])C(=O)C(C([H])([H])[H])=C([H])C3([H])C3(O[H])C([H])(OC(=O)C([H])([H])[H])C([H])([H])C24C3(O[H])C([H])(OC(=O)C([H])([H])[H])C14C([H])([H])[H],True
23,0,1,23:0:1,-2.80853,[H]OC1([H])S(=O)C2([H])OC3(C([H])([H])[H])OC4(OC(C([H])=C([H])[H])(C([H])([H])[H])C3([H])[H])C([H])([H])C4(C([H])([H])[H])C3(O[H])C(=O)C(C([H])([H])[H])=C([H])C3([H])C3(O[H])C([H])(OC(=O)C([H])([H])[H])C([H])([H])C24C3(O[H])C([H])(OC(=O)C([H])([H])[H])C14C([H])([H])[H],False
23,0,2,23:0:2,-2.62309,[H]OC1([H])S(=O)C2([H])OC3(C([H])([H])[H])OC4(OC(C([H])=C([H])[H])(C([H])([H])[H])C3([H])[H])C([H])([H])C4(C([H])([H])[H])C3(O[H])C(=O)C(C([H])([H])[H])=C([H])C3([H])C3(O[H])C([H])(OC(=O)C([H])([H])[H])C([H])([H])C24C3(O[H])C([H])(OC(=O)C([H])([H])[H])C14C([H])([H])[H],False
