ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
2,0,0,2:0:0,-3.06015,[H]OC([H])([H])C(=O)OC1([H])C([H])([H])C(OC([H])([H])[H])(C([H])([H])[H])C2([H])S(=O)C3([H])C4(C([H])([H])[H])C5(O[H])OC6([H])C(O[H])(O5)C([H])(O[H])C2(C([H])(C(=O)C4([H])[H])C2(O[H])C([H])(OC(=O)C([H])([H])[H])C([H])([H])C([H])(O[H])C3(C([H])([H])[H])C2(O[H])C([H])([H])O[H])C6([H])C1(C([H])([H])[H])C([H])(O[H])C([H])([H])[H],True
2,0,1,2:0:1,-2.81704,[H]OC([H])([H])C(=O)OC1([H])C([H])([H])C(OC([H])([H])[H])(C([H])([H])[H])C2([H])S(=O)C3([H])C4(C([H])([H])[H])C5(O[H])OC6([H])C(O[H])(O5)C([H])(O[H])C2(C([H])(C(=O)C4([H])[H])C2(O[H])C([H])(OC(=O)C([H])([H])[H])C([H])([H])C([H])(O[H])C3(C([H])([H])[H])C2(O[H])C([H])([H])O[H])C6([H])C1(C([H])([H])[H])C([H])(O[H])C([H])([H])[H],False
2,0,2,2:0:2,-1.47947,[H]OC([H])([H])C(=O)OC1([H])C([H])([H])C(OC([H])([H])[H])(C([H])([H])[H])C2([H])S(=O)C3([H])C4(C([H])([H])[H])C5(O[H])OC6([H])C(O[H])(O5)C([H])(O[H])C2(C([H])(C(=O)C4([H])[H])C2(O[H])C([H])(OC(=O)C([H])([H])[H])C([H])([H])C([H])(O[H])C3(C([H])([H])[H])C2(O[H])C([H])([H])O[H])C6([H])C1(C([H])([H])[H])C([H])(O[H])C([H])([H])[H],False
2,1,0,2:1:0,-4.8156,[H]OC([H])([H])C(=O)OC1([H])C([H])([H])C(OC([H])([H])[H])(C([H])([H])[H])C2([H])S(=O)C3([H])C4(C([H])([H])[H])C5(O[H])OC6([H])C(O[H])(O5)C([H])(O[H])C2(C([H])(C(=O)C4([H])[H])C2(O[H])C([H])(OC(=O)C([H])([H])[H])C([H])([H])C([H])(O[H])C3(C([H])([H])[H])C2(O[H])C([H])([H])O[H])C6([H])C1(C([H])([H])[H])C([H])(O[H])C([H])([H])[H],True
2,1,1,2:1:1,-4.49234,[H]OC([H])([H])C(=O)OC1([H])C([H])([H])C(OC([H])([H])[H])(C([H])([H])[H])C2([H])S(=O)C3([H])C4(C([H])([H])[H])C5(O[H])OC6([H])C(O[H])(O5)C([H])(O[H])C2(C([H])(C(=O)C4([H])[H])C2(O[H])C([H])(OC(=O)C([H])([H])[H])C([H])([H])C([H])(O[H])C3(C([H])([H])[H])C2(O[H])C([H])([H])O[H])C6([H])C1(C([H])([H])[H])C([H])(O[H])C([H])([H])[H],False
2,1,2,2:1:2,-4.28625,[H]OC([H])([H])C(=O)OC1([H])C([H])([H])C(OC([H])([H])[H])(C([H])([H])[H])C2([H])S(=O)C3([H])C4(C([H])([H])[H])C5(O[H])OC6([H])C(O[H])(O5)C([H])(O[H])C2(C([H])(C(=O)C4([H])[H])C2(O[H])C([H])(OC(=O)C([H])([H])[H])C([H])([H])C([H])(O[H])C3(C([H])([H])[H])C2(O[H])C([H])([H])O[H])C6([H])C1(C([H])([H])[H])C([H])(O[H])C([H])([H])[H],False
5,9,0,5:9:0,-3.51112,[H]OC12C(=O)C3([H])C(OC([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])(OC(=O)C([H])([H])[H])C(OC([H])([H])[H])(C([H])([H])[H])C3(O[H])C3([H])OC4(C([H])([H])[H])C56OC(=O)C7(C([H])([H])C(=C5[H])C5([H])OC53C35C7([H])S(=O)C(C([H])([H])[H])(N1C([H])([H])C([H])(C([H])([H])[H])C1([H])C([H])([H])C23C([H])(O[H])C1([H])O[H])C([H])(O[H])C5(O[H])C([H])([H])[H])C([H])([H])C([H])([H])C4(C([H])([H])[H])O6,True
5,9,1,5:9:1,-3.25873,[H]OC12C(=O)C3([H])C(OC([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])(OC(=O)C([H])([H])[H])C(OC([H])([H])[H])(C([H])([H])[H])C3(O[H])C3([H])OC4(C([H])([H])[H])C56OC(=O)C7(C([H])([H])C(=C5[H])C5([H])OC53C35C7([H])S(=O)C(C([H])([H])[H])(N1C([H])([H])C([H])(C([H])([H])[H])C1([H])C([H])([H])C23C([H])(O[H])C1([H])O[H])C([H])(O[H])C5(O[H])C([H])([H])[H])C([H])([H])C([H])([H])C4(C([H])([H])[H])O6,False
5,9,2,5:9:2,-3.11903,[H]OC12C(=O)C3([H])C(OC([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])(OC(=O)C([H])([H])[H])C(OC([H])([H])[H])(C([H])([H])[H])C3(O[H])C3([H])OC4(C([H])([H])[H])C56OC(=O)C7(C([H])([H])C(=C5[H])C5([H])OC53C35C7([H])S(=O)C(C([H])([H])[H])(N1C([H])([H])C([H])(C([H])([H])[H])C1([H])C([H])([H])C23C([H])(O[H])C1([H])O[H])C([H])(O[H])C5(O[H])C([H])([H])[H])C([H])([H])C([H])([H])C4(C([H])([H])[H])O6,False
7,16,0,7:16:0,-3.33315,[H]OC([H])([H])C([H])(O[H])C1([H])OC2([H])C([H])(C1([H])[H])C13OC4([H])C([H])(O[H])OC(C([H])([H])[H])(C([H])([H])[H])C5([H])C4([H])C([H])(C4(O[H])C([H])=C([H])C(C([H])([H])[H])(S(=O)C([H])(C2(O[H])C([H])([H])[H])C42C([H])(O[H])C([H])(O[H])C4(O[H])N(C([H])([H])[H])C2([H])C41[H])C(O[H])(C([H])=C([H])[H])C([H])([H])C3(O[H])C([H])([H])[H])C1(C([H])([H])[H])C(O[H])(OC([H])([H])[H])C([H])([H])C([H])(OC(=O)C([H])([H])[H])C51O[H],True
