ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
7,0,0,7:0:0,-3.05815,[H]C([H])([H])C([H])(N1C(=O)N(C2([H])C([H])([H])C3([H])C([H])([H])C([H])([H])C([H])(C2([H])[H])[N+]3(C([H])([H])[H])C([H])([H])[H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C1=O)C([H])([H])[H],True
7,0,1,7:0:1,-2.91494,[H]C([H])([H])C([H])(N1C(=O)N(C2([H])C([H])([H])C3([H])C([H])([H])C([H])([H])C([H])(C2([H])[H])[N+]3(C([H])([H])[H])C([H])([H])[H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C1=O)C([H])([H])[H],False
7,0,2,7:0:2,-2.40566,[H]C([H])([H])C([H])(N1C(=O)N(C2([H])C([H])([H])C3([H])C([H])([H])C([H])([H])C([H])(C2([H])[H])[N+]3(C([H])([H])[H])C([H])([H])[H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C1=O)C([H])([H])[H],False
8,0,0,8:0:0,-4.33615,[H]c1nc(N([H])c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])c2c([H])nn(C([H])([H])[H])c2n1,True
8,0,1,8:0:1,-4.06195,[H]c1nc(N([H])c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])c2c([H])nn(C([H])([H])[H])c2n1,False
8,0,2,8:0:2,-3.0192,[H]c1nc(N([H])c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])c2c([H])nn(C([H])([H])[H])c2n1,False
9,0,0,9:0:0,-4.61355,[H]Oc1c([H])c([H])c2c(c1[H])C(C([H])([H])[H])(C([H])([H])[H])c1c(c3c([H])c(O[H])c([H])c([H])c3n1C([H])([H])C([H])([H])[H])C2=O,True
9,0,1,9:0:1,-4.36047,[H]Oc1c([H])c([H])c2c(c1[H])C(C([H])([H])[H])(C([H])([H])[H])c1c(c3c([H])c(O[H])c([H])c([H])c3n1C([H])([H])C([H])([H])[H])C2=O,False
9,0,2,9:0:2,-4.13893,[H]Oc1c([H])c([H])c2c(c1[H])C(C([H])([H])[H])(C([H])([H])[H])c1c(c3c([H])c(O[H])c([H])c([H])c3n1C([H])([H])C([H])([H])[H])C2=O,False
9,1,0,9:1:0,-3.9794,[H]Oc1c([H])c([H])c2c(c1[H])c1c(n2C([H])([H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])c2c([H])c([O-])c([H])c([H])c2C1=O,True
9,1,1,9:1:1,-3.57445,[H]Oc1c([H])c([H])c2c(c1[H])c1c(n2C([H])([H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])c2c([H])c([O-])c([H])c([H])c2C1=O,False
9,1,2,9:1:2,-3.53816,[H]Oc1c([H])c([H])c2c(c1[H])c1c(n2C([H])([H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])c2c([H])c([O-])c([H])c([H])c2C1=O,False
10,0,0,10:0:0,-4.16544,[H]C#CC1(O[H])C([H])([H])C([H])([H])C2([H])C3([H])C([H])(C([H])=C([H])C12C([H])([H])[H])C1=C(C([H])([H])C(=O)C([H])([H])C1([H])[H])C([H])([H])C3([H])[H],True
10,0,1,10:0:1,-3.85818,[H]C#CC1(O[H])C([H])([H])C([H])([H])C2([H])C3([H])C([H])(C([H])=C([H])C12C([H])([H])[H])C1=C(C([H])([H])C(=O)C([H])([H])C1([H])[H])C([H])([H])C3([H])[H],False
10,0,2,10:0:2,-3.06029,[H]C#CC1(O[H])C([H])([H])C([H])([H])C2([H])C3([H])C([H])(C([H])=C([H])C12C([H])([H])[H])C1=C(C([H])([H])C(=O)C([H])([H])C1([H])[H])C([H])([H])C3([H])[H],False
11,0,0,11:0:0,-4.21639,[H]n1c(C([H])([H])[H])c(C([H])([H])[H])c(=O)n2nc(C([H])([H])[H])nc12,True
11,0,1,11:0:1,-3.99127,[H]n1c(C([H])([H])[H])c(C([H])([H])[H])c(=O)n2nc(C([H])([H])[H])nc12,False
11,0,2,11:0:2,-3.85054,[H]n1c(C([H])([H])[H])c(C([H])([H])[H])c(=O)n2nc(C([H])([H])[H])nc12,False
11,1,0,11:1:0,-3.88828,[H]C([H])([H])c1nc2nc(C([H])([H])[H])c(C([H])([H])[H])c([O-])n2n1,True
11,1,1,11:1:1,-3.81581,[H]C([H])([H])c1nc2nc(C([H])([H])[H])c(C([H])([H])[H])c([O-])n2n1,False
11,1,2,11:1:2,-3.58881,[H]C([H])([H])c1nc2nc(C([H])([H])[H])c(C([H])([H])[H])c([O-])n2n1,False
12,0,0,12:0:0,-3.51519,[H]c1nc([H])c([H])c(C([H])([H])n2nc(C([H])([H])[H])c(=O)[n-]2)c1[H],True
12,0,1,12:0:1,-3.43001,[H]c1nc([H])c([H])c(C([H])([H])n2nc(C([H])([H])[H])c(=O)[n-]2)c1[H],False
12,0,2,12:0:2,-3.38221,[H]c1nc([H])c([H])c(C([H])([H])n2nc(C([H])([H])[H])c(=O)[n-]2)c1[H],False
12,1,0,12:1:0,-4.91755,[H]c1c(C([H])([H])n2nc(C([H])([H])[H])c(=O)[n-]2)c([H])c([H])[n+]([H])c1[H],True
12,1,1,12:1:1,-4.69442,[H]c1c(C([H])([H])n2nc(C([H])([H])[H])c(=O)[n-]2)c([H])c([H])[n+]([H])c1[H],False
12,1,2,12:1:2,-4.23311,[H]c1c(C([H])([H])n2nc(C([H])([H])[H])c(=O)[n-]2)c([H])c([H])[n+]([H])c1[H],False
13,0,0,13:0:0,-2.98424,[H]C([H])([H])c1nc(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c2nc(C([H])([H])[H])sc2n1,True
13,0,1,13:0:1,-2.95412,[H]C([H])([H])c1nc(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c2nc(C([H])([H])[H])sc2n1,False
13,0,2,13:0:2,-2.74302,[H]C([H])([H])c1nc(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c2nc(C([H])([H])[H])sc2n1,False
13,1,0,13:1:0,-5.43091,[H][n+]1c(C([H])([H])[H])nc(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c2nc(C([H])([H])[H])sc21,True
13,1,1,13:1:1,-5.01744,[H][n+]1c(C([H])([H])[H])nc(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c2nc(C([H])([H])[H])sc21,False
13,1,2,13:1:2,-3.43888,[H][n+]1c(C([H])([H])[H])nc(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c2nc(C([H])([H])[H])sc21,False
14,0,0,14:0:0,-4.01069,[H]OC([H])([H])C([H])([H])C([H])([H])N([H])c1nc([H])nc2c1c([H])nn2-c1c([H])c([H])c([H])c([H])c1[H],True
14,0,1,14:0:1,-3.88212,[H]OC([H])([H])C([H])([H])C([H])([H])N([H])c1nc([H])nc2c1c([H])nn2-c1c([H])c([H])c([H])c([H])c1[H],False
14,0,2,14:0:2,-3.16818,[H]OC([H])([H])C([H])([H])C([H])([H])N([H])c1nc([H])nc2c1c([H])nn2-c1c([H])c([H])c([H])c([H])c1[H],False
15,0,0,15:0:0,-6.30752,[H]c1nc([H])c2c([H])c([H])c([H])c(C([H])([H])[H])c2n1,True
15,0,1,15:0:1,-6.29327,[H]c1nc([H])c2c([H])c([H])c([H])c(C([H])([H])[H])c2n1,False
15,0,2,15:0:2,-6.26559,[H]c1nc([H])c2c([H])c([H])c([H])c(C([H])([H])[H])c2n1,False
16,0,0,16:0:0,-3.59968,[H]c1sc(-c2nc(C([H])([H])S(=O)(=O)C([H])([H])C(=O)N([H])C3([H])C([H])([H])C3([H])[H])c(C([H])([H])[H])o2)c([H])c1[H],True
16,0,1,16:0:1,-2.9917,[H]c1sc(-c2nc(C([H])([H])S(=O)(=O)C([H])([H])C(=O)N([H])C3([H])C([H])([H])C3([H])[H])c(C([H])([H])[H])o2)c([H])c1[H],False
16,0,2,16:0:2,-2.61713,[H]c1sc(-c2nc(C([H])([H])S(=O)(=O)C([H])([H])C(=O)N([H])C3([H])C([H])([H])C3([H])[H])c(C([H])([H])[H])o2)c([H])c1[H],False
