ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
9,1,1,9:1:1,-3.13013,[H]OC([H])(C([H])([H])[H])C([H])([H])C([H])([H])C1([H])OC2([H])C1(O[H])C1(C([H])([H])[H])C([H])(O[H])C3(O[H])OC3([H])C(=O)C2(C([H])([H])[H])C23C([H])([H])C([H])([H])C4(OC([H])([H])[H])C([H])([H])C5([H])C(O[H])(OC5(C([H])([H])[H])C1(O[H])S(=O)C([H])([H])C42C([H])([H])[H])C3([H])OC([H])([H])[H],False
9,1,2,9:1:2,-2.9661,[H]OC([H])(C([H])([H])[H])C([H])([H])C([H])([H])C1([H])OC2([H])C1(O[H])C1(C([H])([H])[H])C([H])(O[H])C3(O[H])OC3([H])C(=O)C2(C([H])([H])[H])C23C([H])([H])C([H])([H])C4(OC([H])([H])[H])C([H])([H])C5([H])C(O[H])(OC5(C([H])([H])[H])C1(O[H])S(=O)C([H])([H])C42C([H])([H])[H])C3([H])OC([H])([H])[H],False
14,0,0,14:0:0,-2.95179,[H]OC1([H])S(=O)C2([H])C34C(O[H])(OC13C([H])([H])[H])C([H])([H])C(C([H])=C([H])[H])(C([H])([H])[H])C(=O)C4(O[H])C1([H])OC(=O)C3(C([H])([H])C([H])(C([H])([H])[H])C([H])(OC(=O)C([H])([H])[H])C([H])(OC(=O)C([H])([H])[H])C3(C([H])([H])[H])O1)C2(C([H])([H])[H])C([H])([H])[H],True
14,0,1,14:0:1,-2.64705,[H]OC1([H])S(=O)C2([H])C34C(O[H])(OC13C([H])([H])[H])C([H])([H])C(C([H])=C([H])[H])(C([H])([H])[H])C(=O)C4(O[H])C1([H])OC(=O)C3(C([H])([H])C([H])(C([H])([H])[H])C([H])(OC(=O)C([H])([H])[H])C([H])(OC(=O)C([H])([H])[H])C3(C([H])([H])[H])O1)C2(C([H])([H])[H])C([H])([H])[H],False
14,0,2,14:0:2,-2.18816,[H]OC1([H])S(=O)C2([H])C34C(O[H])(OC13C([H])([H])[H])C([H])([H])C(C([H])=C([H])[H])(C([H])([H])[H])C(=O)C4(O[H])C1([H])OC(=O)C3(C([H])([H])C([H])(C([H])([H])[H])C([H])(OC(=O)C([H])([H])[H])C([H])(OC(=O)C([H])([H])[H])C3(C([H])([H])[H])O1)C2(C([H])([H])[H])C([H])([H])[H],False
21,0,0,21:0:0,-4.67185,[H]OC1([H])C(=O)OC2(C1([H])O[H])C([H])(O[H])C1(O[H])C(=O)C(O[H])(C([H])([H])[H])C1(O[H])C([H])(OC(=O)C([H])([H])[H])C([H])(C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])OC1([H])C3([H])C([H])=C(C([H])([H])[H])C([H])(S3=O)C3([H])C([H])(O[H])C([H])(O[H])C2(O[H])C12OC32C([H])([H])[H],True
21,0,1,21:0:1,-4.58004,[H]OC1([H])C(=O)OC2(C1([H])O[H])C([H])(O[H])C1(O[H])C(=O)C(O[H])(C([H])([H])[H])C1(O[H])C([H])(OC(=O)C([H])([H])[H])C([H])(C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])OC1([H])C3([H])C([H])=C(C([H])([H])[H])C([H])(S3=O)C3([H])C([H])(O[H])C([H])(O[H])C2(O[H])C12OC32C([H])([H])[H],False
21,0,2,21:0:2,-4.24256,[H]OC1([H])C(=O)OC2(C1([H])O[H])C([H])(O[H])C1(O[H])C(=O)C(O[H])(C([H])([H])[H])C1(O[H])C([H])(OC(=O)C([H])([H])[H])C([H])(C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])OC1([H])C3([H])C([H])=C(C([H])([H])[H])C([H])(S3=O)C3([H])C([H])(O[H])C([H])(O[H])C2(O[H])C12OC32C([H])([H])[H],False
24,0,0,24:0:0,-2.93053,[H]OC1([H])C(=C([H])[H])C2(O[H])C3(O[H])C(=C([H])[H])C4(O[H])C([H])(O[H])C([H])(O[H])C56C([H])(S(=O)C([H])([H])C([H])(OC([H])([H])[H])C([H])([H])C([H])([H])C5([H])C(C([H])([H])[H])(C([H])([H])C([H])([H])C(=O)C([H])([H])[H])C4([H])C([H])([H])C3([H])O[H])C([H])([H])C3([H])OC(O[H])(C(C([H])([H])[H])(C([H])([H])[H])O3)C2(O[H])C([H])(O[H])C16O[H],True
24,1,0,24:1:0,-2.94243,[H]OC1([H])C(=C([H])[H])C2(O[H])C3(O[H])C(=C([H])[H])C4(O[H])C([H])(O[H])C([H])(O[H])C56C([H])(S(=O)C([H])([H])C([H])(OC([H])([H])[H])C([H])([H])C([H])([H])C5([H])C(C([H])([H])[H])(C([H])([H])C([H])([H])C(=O)C([H])([H])[H])C4([H])C([H])([H])C3([H])O[H])C([H])([H])C3([H])OC(O[H])(C(C([H])([H])[H])(C([H])([H])[H])O3)C2(O[H])C([H])(O[H])C16O[H],True
24,1,1,24:1:1,-2.4465,[H]OC1([H])C(=C([H])[H])C2(O[H])C3(O[H])C(=C([H])[H])C4(O[H])C([H])(O[H])C([H])(O[H])C56C([H])(S(=O)C([H])([H])C([H])(OC([H])([H])[H])C([H])([H])C([H])([H])C5([H])C(C([H])([H])[H])(C([H])([H])C([H])([H])C(=O)C([H])([H])[H])C4([H])C([H])([H])C3([H])O[H])C([H])([H])C3([H])OC(O[H])(C(C([H])([H])[H])(C([H])([H])[H])O3)C2(O[H])C([H])(O[H])C16O[H],False
24,1,2,24:1:2,-2.27255,[H]OC1([H])C(=C([H])[H])C2(O[H])C3(O[H])C(=C([H])[H])C4(O[H])C([H])(O[H])C([H])(O[H])C56C([H])(S(=O)C([H])([H])C([H])(OC([H])([H])[H])C([H])([H])C([H])([H])C5([H])C(C([H])([H])[H])(C([H])([H])C([H])([H])C(=O)C([H])([H])[H])C4([H])C([H])([H])C3([H])O[H])C([H])([H])C3([H])OC(O[H])(C(C([H])([H])[H])(C([H])([H])[H])O3)C2(O[H])C([H])(O[H])C16O[H],False
26,0,0,26:0:0,-3.39723,[H]OC1([H])C2(O[H])C(=O)C([H])([H])C([H])([H])C([H])([H])C2(C([H])=C([H])[H])C2(O[H])C([H])(O[H])C3([H])C([H])(OC(=O)C3(C([H])([H])[H])C([H])([H])[H])C1(O[H])C([H])(O[H])C1(O[H])C3([H])C([H])([H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C3([H])C([H])([H])C3([H])S(=O)C4(O[H])C([H])(O[H])C5(C([H])([H])C(=O)C([H])(C(O[H])(C([H])([H])[H])C([H])([H])[H])C(O[H])(C(=O)OC([H])([H])[H])C35OC4(C([H])([H])[H])C([H])([H])[H])C12[H],True
