ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
3,0,0,3:0:0,-5.00125,[H]OC([H])([H])C1(C([H])([H])[H])C(=O)S(=O)C([H])([H])C1([H])[H],True
3,0,1,3:0:1,-4.69446,[H]OC([H])([H])C1(C([H])([H])[H])C(=O)S(=O)C([H])([H])C1([H])[H],False
3,0,2,3:0:2,-4.09902,[H]OC([H])([H])C1(C([H])([H])[H])C(=O)S(=O)C([H])([H])C1([H])[H],False
6,0,0,6:0:0,-2.38887,[H]OC([H])([H])C1([H])OC2([H])OC3(C([H])([H])[H])C([H])([H])C4(C([H])([H])[H])S(=O)OC(C([H])([H])[H])(C45OC4([H])OC6([H])C(O[H])(OC7(O[H])C([H])(C([H])([H])C8([H])C6([H])C8(C([H])([H])[H])C([H])([H])[H])C(O[H])(C([H])([H])[H])C7(O[H])C([H])([H])[H])C4([H])O5)C23O1,True
6,0,1,6:0:1,-2.34304,[H]OC([H])([H])C1([H])OC2([H])OC3(C([H])([H])[H])C([H])([H])C4(C([H])([H])[H])S(=O)OC(C([H])([H])[H])(C45OC4([H])OC6([H])C(O[H])(OC7(O[H])C([H])(C([H])([H])C8([H])C6([H])C8(C([H])([H])[H])C([H])([H])[H])C(O[H])(C([H])([H])[H])C7(O[H])C([H])([H])[H])C4([H])O5)C23O1,False
6,0,2,6:0:2,-2.33751,[H]OC([H])([H])C1([H])OC2([H])OC3(C([H])([H])[H])C([H])([H])C4(C([H])([H])[H])S(=O)OC(C([H])([H])[H])(C45OC4([H])OC6([H])C(O[H])(OC7(O[H])C([H])(C([H])([H])C8([H])C6([H])C8(C([H])([H])[H])C([H])([H])[H])C(O[H])(C([H])([H])[H])C7(O[H])C([H])([H])[H])C4([H])O5)C23O1,False
7,0,0,7:0:0,-2.41485,[H]OC1([H])C([H])(OC([H])([H])[H])OC2(c3c([H])c([H])c([H])c([H])c3C34C([H])([H])C([H])([H])C2([H])C2(O[H])C([H])(O[H])C([H])([H])OC2(O[H])C3([H])C2(OC([H])([H])[H])S(=O)C([H])([H])C3([H])C4(O[H])C(O[H])(OC2([H])[H])C([H])([H])[N+]3([H])C([H])([H])[H])C1(O[H])OC([H])=C([H])[H],True
7,0,1,7:0:1,-2.10865,[H]OC1([H])C([H])(OC([H])([H])[H])OC2(c3c([H])c([H])c([H])c([H])c3C34C([H])([H])C([H])([H])C2([H])C2(O[H])C([H])(O[H])C([H])([H])OC2(O[H])C3([H])C2(OC([H])([H])[H])S(=O)C([H])([H])C3([H])C4(O[H])C(O[H])(OC2([H])[H])C([H])([H])[N+]3([H])C([H])([H])[H])C1(O[H])OC([H])=C([H])[H],False
7,0,2,7:0:2,-1.93366,[H]OC1([H])C([H])(OC([H])([H])[H])OC2(c3c([H])c([H])c([H])c([H])c3C34C([H])([H])C([H])([H])C2([H])C2(O[H])C([H])(O[H])C([H])([H])OC2(O[H])C3([H])C2(OC([H])([H])[H])S(=O)C([H])([H])C3([H])C4(O[H])C(O[H])(OC2([H])[H])C([H])([H])[N+]3([H])C([H])([H])[H])C1(O[H])OC([H])=C([H])[H],False
12,0,0,12:0:0,-5.04591,[H]OC1([H])OC([H])([H])C2([H])C([H])(O[H])C34OC3([H])C([H])([H])C([H])(OC3([H])OC5(S(=O)C([H])([H])C34C([H])([H])[H])C([H])([H])C3(C([H])([H])[H])C([H])([H])OC3(O[H])C3([H])OC(O[H])(C(=C([H])[H])C([H])([H])[H])C([H])(O[H])C4(O[H])C3([H])C([H])([H])C3(C([H])([H])[H])OC6(O[H])C5(O[H])OC3(C([H])([H])[H])C64O[H])C([H])([H])C12[H],True
