ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,0:0:0,-4.63367,[H]OC([H])([H])C12OC34C([H])([H])C5(C1([H])[H])C([H])(C([H])(OC(=O)C([H])([H])[H])C3([H])C4(C([H])([H])[H])C([H])([H])[H])C1([H])C5([H])C(C([H])([H])[H])(C([H])([H])[H])C2(C([H])([H])[H])C([H])([H])[N+]1([H])C([H])([H])[H],True
0,0,1,0:0:1,-4.53283,[H]OC([H])([H])C12OC34C([H])([H])C5(C1([H])[H])C([H])(C([H])(OC(=O)C([H])([H])[H])C3([H])C4(C([H])([H])[H])C([H])([H])[H])C1([H])C5([H])C(C([H])([H])[H])(C([H])([H])[H])C2(C([H])([H])[H])C([H])([H])[N+]1([H])C([H])([H])[H],False
0,0,2,0:0:2,-3.74734,[H]OC([H])([H])C12OC34C([H])([H])C5(C1([H])[H])C([H])(C([H])(OC(=O)C([H])([H])[H])C3([H])C4(C([H])([H])[H])C([H])([H])[H])C1([H])C5([H])C(C([H])([H])[H])(C([H])([H])[H])C2(C([H])([H])[H])C([H])([H])[N+]1([H])C([H])([H])[H],False
1,0,0,1:0:0,-2.22253,[H]OC([H])([H])C1([H])C2(OC([H])([H])C([H])(C([H])([H])[H])C([H])([H])C2([H])[H])OC2([H])C([H])(O[H])C3(C([H])([H])[H])C(=O)C([H])(C([H])([H])[H])C([H])([H])C4([H])OC5=C([H])C([H])(O[H])C6(C([H])([H])[H])OC([H])(OC([H])([H])C43C6([H])C5(C([H])([H])[H])C([H])([H])[H])C21[H],True
1,0,1,1:0:1,-1.95366,[H]OC([H])([H])C1([H])C2(OC([H])([H])C([H])(C([H])([H])[H])C([H])([H])C2([H])[H])OC2([H])C([H])(O[H])C3(C([H])([H])[H])C(=O)C([H])(C([H])([H])[H])C([H])([H])C4([H])OC5=C([H])C([H])(O[H])C6(C([H])([H])[H])OC([H])(OC([H])([H])C43C6([H])C5(C([H])([H])[H])C([H])([H])[H])C21[H],False
1,0,2,1:0:2,-1.94786,[H]OC([H])([H])C1([H])C2(OC([H])([H])C([H])(C([H])([H])[H])C([H])([H])C2([H])[H])OC2([H])C([H])(O[H])C3(C([H])([H])[H])C(=O)C([H])(C([H])([H])[H])C([H])([H])C4([H])OC5=C([H])C([H])(O[H])C6(C([H])([H])[H])OC([H])(OC([H])([H])C43C6([H])C5(C([H])([H])[H])C([H])([H])[H])C21[H],False
2,0,0,2:0:0,-3.33583,[H]OC12C([H])([H])C3([H])C([H])([H])C([H])(C1([H])[H])C([H])([H])C(N([H])C1=[N+]([H])C(c4nc([H])c([H])nc4[H])(C([H])([H])[H])C([H])([H])C1([H])c1nc([H])c([H])c([H])c1[H])(C3([H])[H])C2([H])[H],True
2,0,1,2:0:1,-3.17665,[H]OC12C([H])([H])C3([H])C([H])([H])C([H])(C1([H])[H])C([H])([H])C(N([H])C1=[N+]([H])C(c4nc([H])c([H])nc4[H])(C([H])([H])[H])C([H])([H])C1([H])c1nc([H])c([H])c([H])c1[H])(C3([H])[H])C2([H])[H],False
2,0,2,2:0:2,-2.29234,[H]OC12C([H])([H])C3([H])C([H])([H])C([H])(C1([H])[H])C([H])([H])C(N([H])C1=[N+]([H])C(c4nc([H])c([H])nc4[H])(C([H])([H])[H])C([H])([H])C1([H])c1nc([H])c([H])c([H])c1[H])(C3([H])[H])C2([H])[H],False
2,1,0,2:1:0,-4.29544,[H]OC12C([H])([H])C3([H])C([H])([H])C([H])(C1([H])[H])C([H])([H])C(N([H])C1=[N+]([H])C(c4nc([H])c([H])nc4[H])(C([H])([H])[H])C([H])([H])C1([H])c1c([H])c([H])c([H])c([H])[n+]1[H])(C3([H])[H])C2([H])[H],True
2,1,1,2:1:1,-3.74541,[H]OC12C([H])([H])C3([H])C([H])([H])C([H])(C1([H])[H])C([H])([H])C(N([H])C1=[N+]([H])C(c4nc([H])c([H])nc4[H])(C([H])([H])[H])C([H])([H])C1([H])c1c([H])c([H])c([H])c([H])[n+]1[H])(C3([H])[H])C2([H])[H],False
2,1,2,2:1:2,-3.60466,[H]OC12C([H])([H])C3([H])C([H])([H])C([H])(C1([H])[H])C([H])([H])C(N([H])C1=[N+]([H])C(c4nc([H])c([H])nc4[H])(C([H])([H])[H])C([H])([H])C1([H])c1c([H])c([H])c([H])c([H])[n+]1[H])(C3([H])[H])C2([H])[H],False
3,1,0,3:1:0,-3.84475,[H]C1=C([H])C2([H])C3([H])C(=O)N(C([H])([H])C([H])([H])[H])C(=O)C3([H])C1([H])C1([H])C([H])([H])C21[H],True
3,1,1,3:1:1,-3.52583,[H]C1=C([H])C2([H])C3([H])C(=O)N(C([H])([H])C([H])([H])[H])C(=O)C3([H])C1([H])C1([H])C([H])([H])C21[H],False
3,1,2,3:1:2,-2.79124,[H]C1=C([H])C2([H])C3([H])C(=O)N(C([H])([H])C([H])([H])[H])C(=O)C3([H])C1([H])C1([H])C([H])([H])C21[H],False
4,0,0,4:0:0,-2.20362,[H]C1=C(C2([H])N(C([H])([H])[H])C([H])([H])C([H])([H])C34c5c(c6c([H])c([H])c([H])c([H])c6n52)C([H])([H])OC32OC3(C([H])([H])[H])OC5([H])C([H])([H])OC4(C(=O)C5([H])[H])C2([H])O3)C([H])(C([H])([H])[H])C2([H])C([H])([H])C([H])([H])C3(C([H])([H])[H])OOC24C([H])(O3)C([H])([H])C14[H],True
4,0,1,4:0:1,-1.80582,[H]C1=C(C2([H])N(C([H])([H])[H])C([H])([H])C([H])([H])C34c5c(c6c([H])c([H])c([H])c([H])c6n52)C([H])([H])OC32OC3(C([H])([H])[H])OC5([H])C([H])([H])OC4(C(=O)C5([H])[H])C2([H])O3)C([H])(C([H])([H])[H])C2([H])C([H])([H])C([H])([H])C3(C([H])([H])[H])OOC24C([H])(O3)C([H])([H])C14[H],False
